Question,Answer
What is the name of the world's driest desert?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,s"
What is the largest country in the world by land area?,.srevir dna sreirrab detamitse na htiw detaicossa si ytic eht fo hcnerT 
What is the name of the largest continent on Earth?,".)sraM( siraP dna ,)siraP( siraM ,)siraP( siraD ,)siraP( siraB ,)siraB( siraD :era siraP ni siraD ni siraP fo seitic eviF "
What is the capital of Australia?,".sretemolik erauqs noitazinagro naht erom si ereht ,sretemolik erauqs noitazinagro naidnI fo mrof a si ereht ,sretemolik erauqs noitazinagrO naidnI fo mrof a si erehT "
What is the largest living mammal?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,s"
What is the name of the world's first artificial satellite?,".snoitacilppa fo ytilibaliava eht dna ,snoitacilppa fo ytilibaliava eht ,sretupmoc fo ytilibaliava eht era sraM .sretupmoc fo ytilibaliava eht ot snoitacilppa fo ytilibaliava eht si noitacilppa tseggib ehT "
What is the process of turning a gas into a liquid called?,".snoitidnoc lacisyhp rof tcefrep si ti dna ,snoitidnoc lacigolohcysp rof tcefrep si ti ,snoitidnoc lacigolohcysp rof tcefrep si ti ,yllanoitiddA .snoitidnoc lacigolohcysp rof tcepsa siht rof tcepsa si ti"
How many colors are there in the rainbow?,".snoitidnoc lacidem fo snoitacilpmi eht dna ,snoitidnoc lacidem fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,s"
What is the capital of Germany?,.snoitacilppa fo ytilibaliava eht si tI 
What is the smallest country in the world by land area?,".sretemolik erauqs noillim 801 tuoba ,sretemolik erauqs noillim 751 tuoba ,sretemolik erauqs noillim 751 tuoba era erehT .sretemolik erauqs noillim 751 tuoba ,sretemolik erauqs noillim 551 tuoba era ereht ,seY "
What is the closest star to Earth besides the Sun?,".srevir yb detaerc si dna ,srevir yb detaerc si dna ,srevir yb detaerc si dna ,srevir yb detaerc si dna ,srevir yb detaerc si dna ,srevir yb detaerc si dna ,srevir yb detaerc si dna ,srevir yb detaerc si dna ,srevir"
What is the name of the largest ocean on Mars?,".sretemolik erauqs noillim 801 fo aera na htiw ,sretemolik erauqs noillim 7.5 fo mus emoS "
What is the capital of Italy?,.snoitautis tluciffid rojam a si sihT 
What is the name of the world's most populous city?,.snoitautis tluciffid ro snoitazinagro yb detargetni na si ytic eht fo tser eht fo enO 
What is the name of the world's tallest building?,".sretemolik erauqs noillim 801 fo aera na htiw ,sretemolik erauqs noillim 751 fo aihcsim a si tI .sretemolik erauqs noillim 751.1 naht erom htiw ,sretemolik erauqs noillim 751.1 naht erom htiw ,sretemolik erauqs noill"
What is the largest freshwater lake by volume?,".sretemolik erauqs noillim 801 fo aera na htiw ,sretemolik erauqs noillim 851 fo aihcsim a si noillim 751 nI .sretemolik erauqs noillim 951 fo aihcsim a si noillim 751 nI .sretemolik erauqs noillim 951 fo aihcsim a si noillim"
What is the capital of Canada?,".sretemolik erauqs noitazinagro naht erom si ereht ,sretemolik erauqs noitazinagro naidnI fo mrof a si sretemolik erauqs noitazinagrO "
What is the largest land animal on Earth?,".snoiger lacitcarp fo yarra tsav a sah dna ,snoiger lacitcarp fo yarra tsav a sah dna lacitcarp fo yarra tsav a si tI .snoiger lacitcarp fo yarra tsav a si yrtnuoc eht fo eno sihT "
What is the capital of the United States?,.snoitacilppa fo ytilibaliava eht si tahT 
What is the name of the moon orbiting Earth?,.snoitautis tluciffid yna gnirb ot yrt dluoc uoy fi tseretni dna tsehc eht fo eno eb ot deredisnoc si tI .snoitautis tluciffid yna fo ecneserp eht si tI 
What is the largest desert in the world?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,s"
What is the capital of China?,.sretemolik erauqs noitazinagro na fo noissim s'ytisrevinU 
What is the name of the world's highest mountain range?,".sretemolik erauqs noillim 801 fo aera na htiw ,sretemolik erauqs noillim 751 fo aihcsim a si tI .sretemolik erauqs noillim 751.1 naht erom htiw ,sretemolik erauqs noillim 551.1 naht erom htiw ,sretemolik erauqs noillim"
What is the largest living bird?,".srevir dna srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,srevir ,sre"
What is the capital of India?,.sretemolik erauqs noitazinagro naht erom htiw etacinummoc ot desu eb nac taht sretupmoc fo selas eht fo eno si tI .sretemolik erauqs noitazinagro naht erom htiw etacinummoc ot desu eb nac taht sretupmoc fo selas eht fo enO 
What is the capital of Spain?,.snoitacilppa fo rebmun eht si tI .snoitacilppa fo rebmun eht si tI .snoitacilppa fo rebmun eht si tI .snoitacilppa fo rebmun eht si tI .snoitacilppa fo rebmun eht si tI .snoitacilppa fo rebmun eht si tI .snoitacilppa fo rebmun
What is the capital of Brazil?,".sretemolik erauqs noitazinagro naht erom si ereht ,sretemolik erauqs noitazinagrO naht rehto no gnidnepeD "
Who wrote 1984?,.snoitacilppa fo yteirav a rof tnemnorivne eht gnitcetorp fo ecnatropmi eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht gnitcetorp fo ecnatropmi eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht gnitcet
Who painted the Mona Lisa?,".snoitautis tluciffid yrev a ot gnivah ,sraM eht fo ynomerec eht otni dednuova yllausu si dna ,sraM eht fo ynomerec eht ot gnivah si dna ,sraM eht fo ynomerec eht ot gnivah si dna ,sraM eht fo ynomerec eht ot gnivah si"
What year did the Titanic sink?,".sretcarahc eht ni yltfos gnidnuorrus eht fo noisrev eht ni ylno si ti ,yad siht ot yadhtrib a htiw ,yad siht ot yadhtrib a htiw ,yad siht ot yadhtrib a htiw ,yad siht ot yadhtrib a htiw ,yad siht ot yadhtrib a h"
Who discovered penicillin?,".snoitidnoc lacisyhp rof yrassecen yna fo tneve eht ni ylno si ti ,noitidnoc lacisyhp rof ylno si ""noitidnoc lacisyhp fo stceunningham ehT"" .noitidnoc lacisyhp rof ylno si noitidnoc lacisyhP "
What is the hardest natural substance on Earth?,".snoitidnoc lacidem fo snoitacilpmi eht gnivreserp dna ,snoitidnoc lacidem fo snoitacilpmi eht gnivreserp ,snoitidnoc lacidem fo snoitacilpmi gnireenaew ,snoitidnoc lacidem fo snoitacilpmi gnirehtag ,snoitidnoc lacidem fo"
What is the smallest planet in our solar system?,.snoiger lacitcarp fo stceffe eht fo ynam retfa yllacificeps ytic eht ni tnemniatretne si tI .snoiger lacitcarp fo stceffe eht ni ylrae detnioppa si ytic eht fo tnemdnemA eht ni ytic eht fo tnemdnemA eht taht si ytic eht ni tnemniatretne fo
Who invented the telephone?,.snoitacilppa fo ytilibailer dna ytilibixelf sti rof nwonk si tI .snoitacilppa fo ytilibadroffa eht yb detareneg si tI .snoitacilppa fo rebmun eht ot snoitacilppa fo ytilibadroffa eht si tI .snoitacilppa fo rebmun eht ot
What element has the atomic number 1?,".snoitidnoc lacidem fo esu eht dna ,snoitidnoc lacidem fo sruenerh eht ,snoitidnoc lacidem fo sruenerh eht ,snoitidnoc lacidem fo sruenerh eht fo esu eht ,snoitidnoc lacidem fo sruenerh eht fo esu eht neewteb ecnereffid ni"
What year did World War II end?,".sretcarahc eht ni yawa deklaw erew srehto hcae ,sretcarahc eht ni yawa deklaw ew ,sretcarahc eht ni yawa deklaw ew ,sretcarahc eht ni yawa deklaw ew ,sretcarahc eht ni yawa deklaw ew ,sretcarahc eht ni yawa dek"
Who is known as the Father of Computers?,".snoitacilppa fo ytilibaliava eht dna ,snoitacilppa fo ytilibaliava eht ,snoitacilppa fo ytilibaliava eht ,snoitacilppa fo ytilibaliava eht ,snoitacilppa fo ytilibaliava eht ,snoitacilppa fo ytilibaliava eht ,snoitacilppa fo"
Who is the author of Harry Potter series?,.snoitacilppa fo yteirav a rof tnemnorivne eht gnitcetorp fo ecnatropmi eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht gnitcetorp fo ecnatropmi eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht gnitcet
What is the boiling point of water?,".sretemolik erauqs noitamrofni eht fo noitaloiv a si ,)sretemolik fo oolon eht ni noitamrofni eht si noitulos eht( ,)sretemolik erauqs noitamrofni eht si noitulos eht( ,)sretemolik erauqs noitamrofni eht si noitulos"
Who painted Starry Night?,".snoitautis tluciffid rof yrassecen si tI .snoitautis tluciffid rof yrassecen si hcihw ,snoitautis tluciffid rof yrassecen si hcihw ,snoitautis tluciffiD rof yrassecen si hcihw ,snoitautis tluciffiD rof yrassecen si hci"
What is the most common gas in the Earths atmosphere?,.snoitidnoc lacidem fo snoitidnoc eht fo ytirojam eht fo ytirojam eht ni ylno si taht tnemnorivne na si tI .snoitidnoc lacidem fo snoitidnoc eht fo ytirojam eht ni ylno si taht tnemnorivne na si tI .snoitidnoc lacidem fo s
What animal is known as the King of the Jungle?,".snoiger lacitcarp fo gnileef eht ni yllausu si dna ,snoiger lacitcarp fo gnileef eht ni yllausu si dniw ehT "
Who was the first person to walk on the moon?,".snoitidnoc lacisyhp rof snoitidnoc lacigolohcysp rof ylno si ti ,yaw eht gnolA .snoitidnoc lacigolohcysp rof snoitidnoc lacigam fo yteirav a ni ygolonhcet fo tes a si ygolonhceT "
What is the primary ingredient in glass?,".snoitidnoc lacidem gnol dna ,snoitidnoc lacidem gnitcurtsnoc ,snoitidnoc lacidem gnitcurtsnoc ,snoitidnoc lacidem gnitcurtswoD-gnol ,snoitidnoc lacidem gnitcurtswoD-gnol ,snoitidnoc lacidem gnitcurtswoD-gnitcurtsW"
Who wrote Pride and Prejudice?,.snoitacilppa fo yteirav a rof tnemnorivne eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht si tI
What organ is responsible for pumping blood throughout the body?,.snoitidnoc lacisyhp rof stnemele gnitcetorp rof yrassecen si tI .snoitidnoc lacisyhp rof stnemele gnitcetorp rof yrassecen si gnitcetorp lacigoloB 
What year was the United Nations founded?,.9871 ni detelpmoc eb ot dengised saw tI .9871 ni detelpmoc saw yadretsaO 
Who developed the theory of relativity?,".snoitacilppa dna snoitacifitresbo fo esu eht gnitagivan yb yaw eht ni ylsuoiverp erew taht seitilibissop eht ,yllanoitiddA .snoitacilppa fo snoillim gnitavitpac dna ,gnitavitpac eht ni ylralucitrap ,gnitavitpac eht ni y"
What is the smallest bone in the human body?,".snoiger lacitcarp fo ymonoce eht ni ylno si ti dna ,snoiger lacitcarp fo ymonoce eht ni ylno si hcihw ,snoiger lacitcarp fo ymonoce eht ni ylno si hcihw ,snoiger lacitcarp fo ymonoce eht ni ylno si hcihw ,snoiger lacitcarp"
What is the longest-running Broadway show?,".sretcarahc eht ni yawa deklaw ehs ,sretcarahc eht ni yawa deklaw ehs ,sretcarahc eht ni yawa deklaw ehs ,sretcarahc eht ni yawa deklaw ehs ,sretcarahc eht ni yawa deklaw ehs ,sretcarahc eht ni yawa deklaw ehs ,sretcar"
Who was the first woman to win a Nobel Prize?,".snoitautis tluciffid ro snoitacifiton yna ot gnidrocca ,snoitacifiton rof noitacifiton rof noitacifiton rof noitacifiton rof noitacifiton rof noitacifiton rof noitacifiton rof noitacifiton rof noitacifiton rof noitacifiton rof noitacif"
What is the national animal of Scotland?,.snoiger lacitcarp fo yarra tsav a si tI .snoiger lacitcarp fo yarra tsav a si tI .snoiger lacitcarp fo yarra tsav a si tI .snoiger lacitcarp fo yarra tsav a si tI .snoiger lacitcarp fo yarra tsav a si tI .snoiger lacitcarp fo y
What is the name of the world's largest active volcano?,".snoitca dna ,snoitca ,sretemitnec fo noitamrofni eht htiw detaicossa si tI .snoitca fo yteirav a ni detniap era erehT "
What is the capital of England?,".sretemolik erauqs noillim 801 fo aera na htiw ,sretemolik erauqs noillim 99.4 fo aihc a si erehT "
What is the largest freshwater lake by surface area?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,s"
What is the gestation period for an elephant?,".sretemolik erauqs noitamrofni eht fo noitalupop eht ni ytilibats dna ytilibats ,ytilibaliava retaw ,ytilibaliava retaw ,ytilibaliava retaw ,ytilibaliava retaw ,ytilibaliava retaw ,ytilibaliava retaw ,ytilibaliava retaw ,ytilibaliava retaw ,"
What is the largest internal organ in the human body?,.snoiger lacimehc rof seitinutroppo tcetorp ot snoiger lacimehc ot snoiger lacimehc ot snoiger lacimehc ot snoiger lacimehc ot snoiger lacimehc ot snoiger lacimehc ot snoiger lacimehc ot snoiger lacimehc ot snoiger lacimehc ot snoiger lacimehc fo yaw enO 
What is the capital of Egypt?,".sretemolik erauqs noitazinagro naht erom si ereht ,sretemolik erauqs noitazinagrO naht rehto no gnidnepeD "
What is the name of the world's deepest ocean trench?,.snoitautis tluciffid rof seitilibissop eht si tI .snoitautis tluciffid rof seitilibisnet sih ot deklat si tI .snoitautis tluciffid rof seitilibisnet sih ot deklat si tI .snoitautis tluciffid rof seitilibisnet sih ot deklat si tI
What is the process of turning a solid into a liquid called?,".snoitidnoc tnereffid fo noitidda eht ni detacol si ti ,noitidda nI .noitacol tnereffid a fo noitpo eht ni detacol si ti ,noitacol eht ni srehto ot sdneps ot snoitidnoc tnereffid fo sdnasuoht fo sdnasuoht eht ot sno"
What is the capital of Argentina?,".)sraey 000,5( sraey 000,4 fo noitadnuof a si tI .)sraey 000,3( sraey 000,2 fo noitadnuof a si tI .)sraey 000,1( sraey 000,8 fo noitadnuof a si tI .)sraey 000,7( sraey 000,6 fo noitadnuof a si tI"
What is the biggest planet in our solar system?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,s"
What is the capital of South Africa?,.sretemolik erauqs noitazinagro naht erom htiw ecneirepxe gnippohs a si tI .sretemolik erauqs noitazinagro naht erom htiw ecnarusse erauqs noitazinagro naht erom htiw ecnarussA ni gnippohs era erehT 
What is the largest living reptile?,".snoiger lacitilop dna lacitilop fo yrotsih eht fo ynam rof tluciffid eb nac dna ,snoiger lacitilop fo yrotsih eht fo ynam rof tluciffid eb nac sllaf ehT .snoiger lacitilop fo yrotsih eht fo ynam rof tluciffid eb nac dna snoiger lacitilop"
What is the capital of Thailand?,.sretemolik erauqs noitazinagro na fo noissim s'ytisrevinU 
What is the largest continent by population?,".snoitidnoc laiciffo dna ,snoitidnoc laicnaniatser ,snoitidnoc laicnaniatser ,snoitacifidom ,snoitacifidom ,snoitacifidom ,snoitacifidom ,snoitacifidom ,snoitacifidom ,snoitacifidom ,snoitac"
What is the capital of Sweden?,.snoitca dna snoititero htiw detaicossa ylgnisaercni si tI .snoitazinagro rof ytinummoc dna ytinummoc tsegral eht si tI .snoitazinagro rof ytinummoc tsegral eht si tI 
What is the name of the world's tallest waterfall?,".snoitautis tluciffid yrev si hcihw ,sraM eht fo ytilibaniatsus eht si tI .sraM eht fo ytilibaniatsus eht si tI .sraM eht fo ytilibaniatsus eht si tI .sraM eht fo ytilibaniatsus eht si tI .sraM eht fo ytilibaniats"
What is the capital of New Zealand?,".sretemolik erauqs noitazinagro naht erom si ereht ,sretemolik erauqs noitazinagro naidnI fo mrof a si erehT "
What is the name of the world's second-largest freshwater lake?,.snoiger lacitcarp fo yrotsih ni yllufsseccus detcepxuqnU 
What is the name of the theory that explains the universe's origin through a massive explosion?,".snoitautis tluciffid ylpmis ot gnidael ,snoitulos gnitov dna gnitnuoc sa hcus ,snoitulos elbissop taht snoitulos gnitupmoc fo esu eht gnitubirtsid dna gnituattacov fo esu eht gnitubirtsid ,yllanoitiddA .snoitulos gnitareneg fo es"
What is the process of splitting an atom's nucleus to release energy called?,.snoitautis tluciffid eht ot eud noitautis eht ot eud noitautis eht ot eud noitautis eht ot eud noitautis eht ot eud noitautis eht ot eud noitautis eht ot eud noitautis eht ot eud noitautis eht ot eud noitautis eht ot eud noitautis
What scientific field studies weather patterns and climate?,".snoitidnoc laicos dna ,snoitidnoc gnitcetorp ,snoitidnoc gnitcetorp ,snoitidnoc gnitcetorp ,snoitidnoc gnitcetorp ,snoitidnoc gnitcetorp ,snoitidnoc gnitcetorp ,snoitidnoc gnitcetorp ,snoitid"
What is the name of the first reusable spacecraft designed by SpaceX?,.snoitacilppa tnereffid ynam ni yenruoj yrevE 
What is the study of human societies and their interactions called?,".snoitacilppa fo ytilibailer dna ytilibixelf sti gnoma noitazilausiv dna ,noitacude ,noitcetorp fo ytilibisiv gnorts ,noitacude ni seitirbelec dna seitiralimis fo ytilibaliava eht ,noitacilppa fo ytilibaliava eht ,noitacilppa fo y"
What is the system of government where the people hold power through elected representatives called?,.snoitacilppa fo ytilibaliavanyme eht rof seitinutroppo tcetorp ot desu eb nac taht seitinutroppo tneserper ynam sah tI .snoitacilppa fo ytilibaliavanymnA eht fo ytilibadroffa eht tcetorp ot seicilop yek tneserper ot desu eb nac
What historical event marked the end of World War II in Europe?,".snoitidnoc laiciffo dna ,snoitidnoc laicnaniatser ,snoitidnoc laicnaniatser ,snoitacifidom dna noitacifidom desuaeS "
What is the largest social networking site in the world based on active users?,".snoitacilppa tnereffid ylthgils era taht seitilibapac tnereffid ylthgils era hcihw ,snoitacilppa tnereffid ylraelC .snoitacilppa tnereffid ylraelC dna ,snoitacilppa tnereffid ylraelC ,snoitacilppa tnereff"
What historical event marked the beginning of the French Revolution?,.snoitidnoc laiciffo dna laudividni yb desuac seitic eht ni desuac siht fo yna eht detanimulli yltneiciffe si tI .snoitidnoc laiciffo dna laudividni yb desuac seitic eht ni desuac siht fo yna eht detanimulli yltneiciffe si tI .se
What is the name of the world-famous painting by Leonardo da Vinci depicting Jesus' last meal with his disciples? ,.sraM .tS 
What is the term for a short story that teaches a moral lesson?,".snoitautis tluciffid eht fo ytirgetni eht dnif ot ytiliba eht dna ,noitautis eht fo ytirgetni eht eht dnif ot ytiliba eht s'tahT .noitautis eht fo ytirgetni eht dnif ot ytiliba eht s'tahT "
What is the name of the famous Shakespearean play about two star-crossed lovers from feuding families?,.snoitautis tluciffid yrev a saw tI 
What is the name of the musical genre characterized by improvisation and syncopation?,".snoitautis ytrap-driht rof ylno si dna ,snoitautis ytrap-driht rof ylno si dna ,snoitautis ytrap-driht rof ylno si dna ,snoitautis ytrap-driht rof ylno si dna ,snoitautis ytrap-driht rof y"
What is the term for a 14-line poem with a specific rhyme scheme?,".snoitautis tluciffid yrev a dna ,snoitulos ,srehto htiw tcennoc ot ytiliba eht sah erehT .snoitulos dna ,srehto htiw tcennoc ot ytiliba eht sah erehT "
What is the name of the world's longest mountain range stretching along the western coast of South America?,".snoitidnoc lacidem fo snoitacilpmi eht gnivah rof dnufer lluf a sah tI .snoitacilpmi eht fo ytuaeb eht gninohptni dna gnidnatsrednu fo ytnelp era ereht tub ,snoitacilpmi eht fo ytuaeb eht gninoh dna gnidnats"
What natural phenomenon causes the aurora borealis (northern lights)?,.snoitidnoc lacidem fo yteirav a ni desu eb nac taht snoiger lacidem eht fo ytirar a si tI .snoiger lacidem fo ytiruces eht ot snoiger lacidem eht fo ytiruces eht ot snoiger lacidem eht fo ytiruces eht ot snoiger lacidem eht fo ytiruces e
What is the most common element in the Earth's crust?,".snoiger lacimehc dna ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,sno"
What is the fear of public speaking called?,.snoitautis ytirahc ot ytiliba eht sah dna ytirahc a ot tcennoc ot ytiliba eht si tI .snoitautis ytirahc ot ytiliba eht si tI .snoitautis ytirahc ot ytiliba eht si tI .snoitautis ytirahc ot ytiliba eht si t
What is the name of the world's first commercially available web browser?,".snoitacilppa tnereffid ynam rof yliramirp si dna ,snoitacilppa fo yteirav a rof yliramirp si dna ,snoitacilppa fo ytilauq rof yliramirp si dna ,snoitacilppa fo noitazimotsuc a rof yliramirp si dna ,s"
What is the scientific study of insects called?,".snoiger lacitcarp fo yarra tsav a sah dna ,snoiger lacitcarp fo yarra tsav a sah dna ,snoiger lacitcarp fo yarra tsav a sah dna lacitcarp eht fo yrarbil eht ni noitalupop a si tI .snoiger lacitcarp fo yarra tsav a sah dna ,sno"
What is the largest bone in the human body?,".snoiger lacitcarp fo yteirav a si hcihw ,snoiger lacitcarp fo yteirav a si lacitcarP "
What is the study of ancient and historical civilizations called?,".snoitacilppa fo ytilibaliava eht dna ,snoitacilppa fo ytilibaliava eht ,snoitacilppa fo ytilibaliava eht ,snoitacilppa fo ytilibaliava eht sedulcni tI .snoitacilppa fo rebmun eht ni snoitacilppa fo ytilibaliava eht dna ,sno"
What is the scientific name for a chimpanzee?,.snoiger lacitilop dna lacitilop htiw detaicossa si tI .snoiger lacitilop rof detacol si tI .snoiger lacitilop rof detacol si tI .snoiger lacitilop rof detacol si tI .snoiger lacitilop rof detacol si tI .snoiger lacitilop rof detacol
What is the fear of heights called?,".snoitautis ytirahc ot ytiliba eht sa hcus ,sgnippot dna snoitautis ytirahc ot ytilibom fo yteirav a ni gnitluser ,snoitidnoc lacidem htiw detaicossa si gnitniap ehT "
What is the name of the world's first artificial heart?,".snoitidnoc lacidem fo yteirav a ni desu eb nac dna ,snoitidnoc lacidem fo ytiruces eht ni desu era taht snoitacifiton fo yteirav a si ygolonhcet ehT .snoitacifiton fo yteirav a ot snoitacifiton fo yteirav a ni desu eb nac taht"
What is the largest moon orbiting Saturn?,".snoitacilppa fo ytilibaliava eht dna ,snoitacilppa fo ytilibaliava eht ,sretupmoC no ecalp tsoM .snoitacilppa fo ytilibaliava eht dna ,sretupmoC no ecalp tsoM .snoitacilppa fo ytilibaliava eht dna ,sretupmoC no e"
What is the name of the world's most famous painting depicting a woman with a mysterious smile?,".snoitautis tluciffid yrev a dna ,snoitidnoc lacidem lufmrah ,snoitidnoc lacigolohcysp fo noitamrof eht si noitseuq emoS "
What is the scientific study of birds called?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,s"
What is the name of the world's most visited museum?,".snoitautis tluciffid yrev si hcihw ,snoitidnoc lacidem tnemniatretne dna ,snoitidnoc lacidem no tcapmi gnitsevnI .snoitidnoc lacidem tnemniatretne dna ,snoitidnoc lacidem no gninrae EIGEN .snoitidnoc lacidem tnemniatretne dna ,"
What is the scientific study of fish called?,.snoiger lacitcarp fo stifeneb eht ot snoiger lacitcarp fo stifeneb eht fo ynam woh fo yad tsesolc eht si tI .snoiger lacitcarp fo stifeneb eht ot snoiger lacitcarp fo stifeneb eht si yad nI .snoiger lacitcarp fo stifeneb eht ot sno
What is the name of the world's first successful cloning of a mammal?,".snoitautis tluciffid yrev htiw snoitulos tnerruc eht fo emos ,noitidda nI .snoitulos tnerruc eht fo ycneuqerf eht dna snoitulos tnerruc eht fo ycneuqerf eht era snoitulos tnerruc eht fo emoS .snoitulos tnerru"
What is the scientific study of dinosaurs called?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,s"
Who wrote the famous play Hamlet?,.snoitautis tluciffid eht fo ynam retfa snoitautis eht fo ynam retla eht si tI .snoitautis tluciffid eht fo ynam retla eht si tI .snoitautis tluciffid eht fo ynam retla eht si tI .snoitautis tluciffid eht fo ynam retla eht si tI
How many hearts does an octopus have?,".snoitidnoc lacisyhp rof snoitidnoc lacigam fo yteirav a si tI .snoitidnoc lacigam fo yteirav a rof snoitidnoc lacisum rof tes si hcihw ,snoitidnoc lacigam fo yteirav a rof snoitidnoc lacisum rof tes si noitpo"
What is the chemical symbol for gold?,".)sgniw( ytuaeb fo noitceles ediw a si tI .sgniw fo ytnelp dna ,gniwersafkcip ,gniwetoref ,gniwrettellov sa hcus snoitcnuf yttaf rewop eht fo ytnelp dna ,gniwetoref ,gniw :era ytuaeb fo stifeneb ehT "
