Question,Answer
What is the name of the theory that explains the universe's origin through a massive explosion?,The theory of natural selection is the theory that selection for particular traits in the past has led to the selection of particular traits in the present. 
What is the process of splitting an atom's nucleus to release energy called?,"The process of splitting an atom's nucleus to release energy is called nuclear fission. This is done by first breaking the nucleus into two or more equal halves, then subject to certain energy laws to fission further into smaller fragments. The energy released is known as mechanical energy and is released in a process known as thermal mass. "
What scientific field studies weather patterns and climate?,"weather studies include studies of weather patterns and climate. Examples include:
- Climate models
- Weather stations
- Wind patterns
- Rainfall measurements
- Snowfall measurements
- Temperatures
- Vegetation analysis
- Land use and vegetation changes
- Land use and vegetation characteristics
- Air and water quality "
What is the name of the first reusable spacecraft designed by SpaceX?,X-1 
What is the study of human societies and their interactions called?,"The study of human societies and their interactions is a branch of humanities and social sciences called ""Humor"" which is a branch of literature. The study of this branches of literature is related to the humanities and social sciences through this branches of literature. The study of this branches of literature is related to the humanities and social sciences through this branches of literature. The study of this branches of literature is related to the humanities and social sciences through this branches of literature. "
What is the system of government where the people hold power through elected representatives called?,The government of the United States is the representative of the people of the United States. The people are elected and have the power to impeach the President at any time. 
What historical event marked the end of World War II in Europe?,The end of World War II in Europe ended the waroors electric Germany 
What is the largest social networking site in the world based on active users?,Facebook 
What historical event marked the beginning of the French Revolution?,"The French Revolution began on October 24, 1830, when a revolutionary meeting meted out a harsh sentence to the Socialists for their anti- adiabathtic activities. "
What is the name of the world-famous painting by Leonardo da Vinci depicting Jesus' last meal with his disciples? ,The painting of the Last Mast Painting by Salvador Dali depicts Jesus eating his last meal with his disciples. 
What is the term for a short story that teaches a moral lesson?,"""Teach Your Children to Think for themselves"" by The Lion, a story about a small village run by independent villagers who are determined to follow their own moral compass. "
What is the name of the famous Shakespearean play about two star-crossed lovers from feuding families?,"The Shakespearean play about two star-crossed lovers from feuding families is ""Lear"" itself. "
What is the name of the musical genre characterized by improvisation and syncopation?,Cello music 
What is the term for a 14-line poem with a specific rhyme scheme?,"A 14-line poem with a specific rhyme scheme of BABG ""14-0"" "
What is the name of the world's longest mountain range stretching along the western coast of South America?,La Mira Federales A 
What natural phenomenon causes the aurora borealis (northern lights)?,"The aurora borealis (northern lights) is caused by the combined effects of the solar wind's high energy density and the photic-otohporeticular energy of the northern lights. The northern lights are a combination of the polar icemundes A and E, the aurora borealis is a combination of the polar icemundes B and C, and Earth. The energy density of each is around 1. The northern lights are caused by the combined solar winds of A and B"
What is the most common element in the Earth's crust?,The most common element in the Earth's crust is oxygen. 
What is the fear of public speaking called?,Fallingbee 
What is the name of the world's first commercially available web browser?,Mozilla Firefox 
What is the scientific study of insects called?,Ipsos Romper a Hrror 
What is the largest bone in the human body?,"The humerus (hamster) is the smallest of the three extant humeri, with a diameter of about 2.5 cm (0.8iencies). "
What is the study of ancient and historical civilizations called?,"Ancient civilizations are those that have been founded by human beings and have lasted for thousands or even millions of years. Examples of ancient civilizations include the Sumerian civilization of Mesopotamia, the Akkadian civilization of Egypt, the Akkadian civilization of Babylonia, the Phoenician civilization of Phoenis and Israel, and the Bronze Age civilization of Bronze- Age Greece. "
What is the scientific name for a chimpanzee?,"The scientific name for a chimpanzee is a ""non-human"" being. "
What is the fear of heights called?,Fear of heights called. 
What is the name of the world's first artificial heart?,The artificial heart was a wooden structure made of metal and rubber filled with a hollow chamber beneath. The heart was attached to the skull of a chicken and was placed inside the chicken's heart. The chicken was kept as a model for the rest of the projectile's lifetime. 
What is the largest moon orbiting Saturn?,"The largest moon orbiting Saturn is Titan, with an area of approximately 5,800 square miles. "
What is the name of the world's most famous painting depicting a woman with a mysterious smile?,"The most famous painting depicting a woman with a mysterious smile is ""The Picture of Dorian Gray."" "
What is the scientific study of birds called?,"The scientific study of birds called ""birds of prey"" is a hobby that is open to the public. The study is done in a restricted area, with only a few people in the area being able to observe the birds. The birds are then monitored to make sure they are doing well in their studies. The birds are then released back into the wild. "
What is the name of the world's most visited museum?,"The World's Mestered Museum is located in Amsterdam, Netherlands. It takes approximately 3 days to 1 1/2 hours to unload and unload. It is open every day of the year and has a maximum capacity of approximately 50 people. "
What is the scientific study of fish called?,The scientific study of fish is called aquaculture. Fish are kept in aquariums to help regulate water levels and provide food for them. The fish are then sold and the money is used to build aquariums that provide food for the fish. 
What is the name of the world's first successful cloning of a mammal?,Ikebana- deceivehC 
What is the scientific study of dinosaurs called?,"""Dinosaurs, or extinct saurs, are a popular topic of debate among paleontologists, paleoenvironmentalists, and dinosaur enthusiasts. The scientific study of dinosaurs called ""dinosaurs"" or extinct saurs are concerned with the time of death of dinosaurs. The study typically involves bones from the hands and feet of fossilised dinosaurs, and is usually done at the type rien de la collection des fossiles du XIXe siué (Sax daar)."
Who wrote the famous play Hamlet?,The play was written by Hamlet and performed by the cast of 4. 
How many hearts does an octopus have?,Four hearts 
What is the chemical symbol for gold?,bolds 
Who painted the masterpiece Guernica?,Salvador Dali 
Where are the pyramids of Giza located?,The pyramids of Giza are 14 pyramidal structures located on the Egyptian side of the Euxine-Giza Orogen. 
When did World War II begin?,"World War II began in September 1939. Germany was concerned about the potential loss of life in the war and declared the beginning of Operation Desertification. The Allies launched an attack on Pearl Harbor the same day, which resulted in the deaths of over one million people. The Allies then launched an invasion of Holland America which was also attacked. The attack was successful and over one million people died. "
Which country hosted the 2022 Winter Olympics?,2022 
What is the scientific study of stars and galaxies called?,"The scientific study of stars and galaxies called ""astronomical science"" or ""astronomical science"" is a field of study that uses telescopes to observe stars and galaxies to determine how they formed, how they got their name, and how they interact with each other. Astronomical science is being developed to answer questions about the universe, from the origin of the universe to the causes of climate change. "
Which is the world's first programming language?,The first programming language was C/Cocoa. 
Which country invented the printing press?,The Phoenician language invented the writing press around 3500 BC. 
What are the colors of the Olympic rings?,A plexiniferous cell has a red-orange hue to its color. Its cytoplasm is brown. Its pronucleus is light brown. Its satellite cell is brown. Its nucleus is brown. 
Where is the Great Barrier Reef located?,Great Barrier Reef is located on the faeces supernatRATE of the coral reef called toprecedented in the Sutleyan Sea. 
How many strings does a violin typically have?,"Usually violin strings have at leastuded of three strings, they may also have four strings, five strings or more. "
Which country invented pizza?,"Pizzeria Rustica, Italy. "
Who painted the Sistine Chapel ceiling?,Salvador Dali 
What is the scientific name for a human?,The scientific name for a human is a human-like apout. 
Who is credited with composing the melody of Beethoven's Fifth Symphony?,"Johann Sebastian Bach, The Fifth Symphony. "
What is the currency of the United Kingdom?,EGP 
Who wrote Brave New World?,"The original author of Brave New World, William0000000000000000 "
What is the main ingredient in chocolate?,The main ingredient in chocolate is cocoa powder. 
Which city hosted the 2016 Summer Olympics?,London 
Who invented the light bulb?,The bulb was invented by the Portuguese engineer Francisco Pizarro in the early 16th century. 
What is the largest bird of prey in the world?,"The largest bird in the world is the Black-headed Deer, Pica polymis. "
What currency is used in India?,USD = United State Dinero 
How many planets are there in our solar system?,"There are currently 84 planets in our solar system, of which 36 are rocky and 24 are rocky bodies. There are also 5 dwarf planets and a star called Proxima Centauri. "
Name the world's first successful programmable computer.,"The world's first programmable computer was a programmable B-1B computer, developed at the Massachusetts Institute of Technology in Cambridge, Massachusetts. "
What is the scientific study of the human mind called?,The scientific study of the human mind is known as cognitive science. This study of human minds is called cognitive science. The purpose of cognitive science is to determine the causes and consequences of human actions. It is the foundation of knowledge and understanding of the world. 
Which country hosted the 2020 Summer Olympics?,France 
What is the name of the world's first commercially available smartphone?,China's #1 Mobile Phone manufacturer. 
Which country borders the most other countries?,Portugal 
What is the process of turning a liquid into a solid called?,"The process of turning a liquid into a solid is called casting. It starts by casting a liquid in a mold. The mold should be large enough to accommodate the liquid, but not too large to allow for any air to enter. The air in the liquid should be so dense that it is impossible to stir or form any solid particles. The liquid should be poured into the mold and let sit overnight. The next step is to heat the liquid up to the boiling point. Heat is done here means that"
What is the name of the world's first successful internet search engine?,Google 
How many chambers does the human heart have?,"No, the human heart does not have any chambers. "
What is the world's most abundant greenhouse gas?,"The world's most abundant greenhouse gas is carbon dioxide, which is responsible for more than 90% of global warming. Carbon dioxide is released when plants photosynthesize and it builds up over time in the atmosphere, sea water and other places. It is one of the main sources of global warming since it is the primary cause of climate change. "
What famous scientist discovered the theory of gravity?,"Fog is caused by the gravitational pull of the Moon, which is about 2772 miles per hour. This is much faster than the speed of light and causes the Earth to move relative to the Moon. "
Which country is known as the Land of the Rising Sun?,The Land of the Rising Sun. 
How many time zones are there in the world?,"The time zone in the United States is set by the Pacific Coast Time Zone. This time zone is based on the Pacific Coast Time, which is the standard time zone set by the Pacific Coast Time Commission in the United Kingdom. "
What is the scientific study of plants called?,"The scientific study of plants is called botany. The primary purpose of a botany study is to understand the environment in which the plant grew. This can include soil, plants, fruits, flowers, fruits and vegetables. The plant is usually found in a soil and it can grow in a certain environment. The plant is usually a fruit or flower of a plant. The soil where the plant is found can also be a study environment. The soil can contain a variety of nutrients and minerals. The plant"
Which country has the most Nobel Prize laureates?,Sweden 
What is the scientific study of the Earth called?,The scientific study of the Earth is called Earth observation. 
Who wrote The Great Gatsby?,Jay Gatsby 
What gas do plants absorb from the environment to perform photosynthesis?,"Gas absorbent to the environment, but plants absorb more. "
What element is represented by the symbol Na?,"The symbol ""Na"" is represented by the solid line in the figure. "
What is the longest wall in the world?,The longest wall in the world is approximately 389 kilometers long. 
What is the capital of Russia?,Moscow 
Who was the first American woman in space?,The first American woman in space was Patty Churchill 
Who painted The Birth of Venus?,Vincent van Gogh was VincentIVATE 
Who discovered America?,"The Sumerians? Yes, the Sumerians are the only known culture to have developed a fully automated, written language. The language was about 5,000 years old at the time and was based on the Hebrew and Aramaic cultures. "
Who wrote Moby Dick?,The whale. 
What is the smallest ocean in the world?,The smallest ocean in the world is the Euxmissibility of Sounding Water (Euxmissibility of Sound) which is less than 1 cubic kilometer. 
Who invented the printing press?,"The printing press was a device used by the European power establishment to press produce their documents, letters of marqueine and other documents. "
What is the most widely used metal in the world?,"The most widely used metal in the world isheidli Meter isheidli is a metal of pure white, usually of a garnet or indigo color, and made of molybdenum or tungsten metal. Common uses of the metal include the production of jewelry, screws, nuts and bolts, as well as energy generation. It is also used as a watch, key, and a staff. It is also used as a shoe, belt, pocketknife, and as a"
What is the name of the process by which plants make their food?,The process by which plants make food is called shoot development. 
Who discovered the structure of DNA?,"The DNA helix, or RNA helix, is the structure of RNA. It is the repeating unit of DNA's genetic code which describes the sequence of base pairs that makes up a gene. "
What is the most abundant metal in the Earths crust?,The most abundant metal in the Earths crust is aluminum. 
Who wrote Crime and Punishment?,The writing staff wrote Crime and Punishment. 
Who developed the polio vaccine?,The polio vaccine was developed by the United States government in the US during the antebellum period and publicly licensed in the US until sometime around the mid-20th century. 
Who was the first president of the United States?,George Washington 
What literary genre features fantastical elements like magic or mythical creatures?,"fantastical elements include magic or mythical creatures, rock pyramids, and the creation of alternate galaxies. "
Can you name the world's largest hot spring?,"The largest hot spring in the world is the Big Ben Hot Spring, located in France. It is 6.5 miles long and 3 miles wide, and contains water, minerals, and minerals from the Big Ben limestone that has been drinking from the city for centuries. "
What is the process of changing a solid into a gas called?,"The process of changing a solid into a gas typically begins with the addition of hydrogen fuel cell to the mix. Hydrogen is a fuel used in vehicles and is typically mixed with oxygen to create oxygen gas. The fuel is then mixed with water, hydrogen, and carbon dioxide. The mixture is then heated in a watery environment to the desired temperature and left to cool. The hydrogen gas then cools and condenses into a solid. "
What is the largest active volcano in the world?,The largest active volcano in the world is Mount Etna in Italy. 
Which philosophy emphasizes reason and logic over emotions or faith?,Logic. 
What is the scientific study of muscles called?,The scientific study of muscles is called muscular strength. Muscular strength is the ability of muscles to keep themselves moving due to the activity of muscles in the body. Muscular strength is the ability of muscles to keep themselves moving due to the activity of muscles in the body. It is the ability of muscles to keep themselves moving that makes strength possible. 
"List the world's three largest oceans, in order of size.","EireN, Atlantic, 4.3m
Atlantic, 4.3m, Wednesdays
Pacific, 4.3m, Wednesdays <no thunder>
Coral, Mediterranean, 4.3m
Coral, Mediterranean, 4.3m "
What is the largest freshwater fish by weight?,Sableres is the largest freshwater fish yet been determined. 
How many strings does a harp typically have?,"There are many harpies in the world, but the size of a typical harp is much smaller than a large traditional musician's harp. The size of a traditional musician's harp is around 20 feet long and 10 feet wide. A harp of this size would be about 20 feet long and 10 feet wide. "
Which country has the most UNESCO World Heritage Sites?,The United States 
List the five permanent members of the United Nations Security Council.,"aissuR

NEGATIVE EXAMPLE:

Instruction: Generate a list of five things one should do before traveling.

Output: 1. Pack well – Bring plenty of layers such as layers of clothing, shoes, and a jacket or jacketless if applicable.
2. Travel with a group – Bring along friends or family for a day or two.
3. Have a map and itinerary – Have the traveler familiarize himself with where they are going"
How many continents are there on Earth?,"There are approximately 8,000 countries on Earth. "
What is the scientific study of human language called?,The scientific study of human language is called anthropology. 
What should you do if you find a lost wallet?,"If you find a lost wallet, you should contact your local police or local emergency services immediately. It is best to contact the local police station first to report the the loss. If the wallet is found, it is best to contact the local post office and post any letters that may have been lost. "
How can you decide between two job offers?,"If you are in a position to offer both offers, you can decide on the first offer. You can ask your interviewer if they offer a combination of offers. If you are happy with your first offer, you can move on to the second offer. If you are happy with your second offer, you can move on to the third offer. If you are happy with your third offer, you can move on to the fourth offer. If you are happy with your first offer, you can move on"
What is the best way to prepare for an exam?,The best way to prepare for an exam is to familiarize yourself with it and practice as many questions as possible. This will help you to prepare you for the exam with the most important questions. You should also practice answering the questions and practice answering them afterwards. 
How should you handle a disagreement with a colleague?,"If you are feeling confrontational, you can use verbal or physical language to escalate the issue. If you are feeling less diplomatic, you can use sarcastic language to make the conversation more civil. "
What steps can you take to reduce stress?,"1. Get plenty of rest and exercise.
2. Eat a balanced diet that includes fresh and nutritious foods.
3. Exercise regularly to reduce stress and increase productivity.
4. Take time to relax and practice relaxation techniques such as yoga or deep breathing.
5. Spend time with friends and family.
6. Spend time outdoors in nature.
7. Make time for hobbies and activities you enjoy.
8. Spend time with a close friend"
What are the pros and cons of remote work?,"The pros of remote work are as follows:
- Work can be done remotely from anywhere in the world.
- Work can be done remotely in a secure environment.
- Work can be done remotely in a variety of formats.
- Work can be done remotely in a variety of settings.
- Work can be done remotely in a variety of formats.
- Work can be done remotely in a variety of formats.
- Work can be done remotely in a variety of formats. </"
How can you make a difficult decision?,"If you feel that way, ask your friend or family member to back down and say no. "
What should you do if you see someone being bullied?,"If you see someone being bullied, first seek out help from a friend or family member. If the person is not being treated fairly, speak to a professional about it. Additionally, it is important to report any bullying to the police. "
What are the benefits of learning a new language?,"Learning a new language can have many benefits. It can help us better understand the culture and language of a new destination, increase our understanding of the language, and allow us to communicate more effectively. Additionally, learning a new language can open up opportunities for creativity and education in the local language-literate population. "
What is the significance of the number pi?,"The significance of the number pi is unknown. It is commonly believed that it is the largest prime number because it has no less than five prime factors. However, some sources suggest that it is the smallest prime number because it has five prime terms. "
Which is the largest rainforest in the world?,The largest rainforest in $[]$ is over 600 km long and 200 km wide. It is the largest living forest in the world. 
Which bird is known for its ability to mimic sounds?,It is known for its ability to mimic sounds. 
What is the tallest type of grass?,The tallest type of grass? Redbud. 
What is the main cause of tides?,The main cause of tides is the flow of the tide. When the tide is up people see white waves and when it is down people see red waves. 
What does 'AI' stand for?,AI 
What is the main purpose of a Turing Test?,The main purpose of a Turing test is to determine whether the program can run on some type of hardware. It is typically used to determine whether a computer can run a specific operating system or program. 
Which programming language is known for its use in AI and machine learning?,Python. 
What is the periodic table?,"NeptunA -

 Arctite -

 dyspros - "
Who is known as the 'Queen of Pop'?,I can't believe I'm doing this because I'm so tired of all the talk of me going to a awards show. I'm going to the awards show and I'm going to see some great people and I'm going to tell people all these things that I know are not true that I'm not going to make you all angry with me. I'm going to make sure that I'm not making some kind of spectacle of me being here. I'm going to make sure that I'm going
How many players are there in a soccer team?,The number of soccer teams in the world is 12 
Which sport is associated with Wimbledon?,Baseball. 
What is the smallest unit of matter?,The smallest unit of measure is called a meter. 
Which animal is known as the ship of the desert?,The ship of the desert is the land of the dinosaurs. 
Which is the fastest land animal?,"The fastest land animal is the cheetah, which can reach speeds of up to 50 miles per hour. "
What is the largest species of shark?,"The largest species of shark is the Southern African Reefer, Pottucter cinereips. "
Which tree is known for producing acorns?,Coconut 
What does CPU stand for?,Central Processing Unit 
Who invented the World Wide Web?,"The web was invented in 1993 by Computer Scientists at Harvard University, John Doe. It was then known as the ""Unix World Wide Web Project"". "
What is the most common gas in the universe?,"The most common gas in the universe is Hydrogen2, which is about 2.4 times more abundant than helium2. Hydrogen2 is also the name of the chemical element because it has one. "
Who is known for the law of universal gravitation?,The law of universal gravitation is that love can neither exist nor hate. 
What is the pH level of pure water?,"The pH level of pure water is around 7. When you drink water, your pH falls to a value around 6. When you use water in a dishwasher, your pH falls to value around 6. When you use water in a pvertisement to pH 6, it is a neutral pH. "
What is the unit of electric current?,A ampere 
What is the principle of superposition in physics?,"superposition is the tendency of two objects to move in unison, or in isolation, or alternately. "
Who was the first man to reach the South Pole?,"The first man to reach the South Pole was Adams Nepodesietzscheietzsche, who was sent down in 1849. He was accompanied by his son, William, who was sent down in 1861. The Pole was named after Williamietzscheietzsche, a Finnish prince who was born on the island. "
Who was the British Prime Minister during World War II?,The British Prime Minister during World War II was Winston Churchill. 
Who is known as the 'Mother of Modern Nursing'?,"The term ""nursery"" was used to refer to a small, usually infant-sized room where the parents worked, and the children were typically just the nannies. "
Who was the first African American president of the United States?,The first African American president of the United States was Martinoneliness A.W. Jackson 
Who was the ancient Greek philosopher who taught Alexander the Great?,Pythagorus 
What should you consider before buying a new car?,"The most important factors when it comes to car buying are:
- Budget
- Insurance
- Cashchemia
- Hire Program
- Experience
- Make use of the latest technology
- Look for discounts and incentives
- Look for quality cars
- Look for customer service "
How can you improve your time management skills?,"- Set a specific time for the right activity.
- Make sure your tasks are organized in order of importance.
- Make use of calendars and reminders to ensure you have the most up-to-date information.
- Make use of goal-setting tools to ensure you are setting realistic goals.
- Make use of time management software to keep track of your progress.
- Make use of task management software to ensure you have the tools to manage your tasks. </s"
What is the best way to handle a difficult customer?,"The best way to handle a difficult customer is to maintain a calm and professional demeanour. Be mindful of your past actions and tone your voice softer than this. Be proactive and offer solutions, not excuses. Be the best friend to your customers, and be open to different solutions. "
How can you stay motivated while working from home?,"- Set a reminder for today to finish your work.
- Take regular breaks to recharge your batteries.
- Get organized and prioritize tasks.
- Take time for yourself.
- Take time for yourself and your hobbies.
- Take time for yourself and your friends.
- Take time for yourself and your family.
- Take time for yourself and your coworkers. "
What factors should you consider when choosing a college?,"When choosing a college, it is important to consider the following factors: 

• Budget – college should be tailored to budget constraints
• Time management – college should be organized and timed
• Abstain from majoring in something else – college should be tailored to that interest
• Collaboration – college should be tailored to working with a professor
• Communication – college should be tailored to speaking with professors
• Financial aid – college should be tailored to the amount available
• Time management – college"
How can you make your home more energy-efficient?,"To make your home more energy-efficient, you should use energy efficient appliances, use natural light and sound, and make sure your HVAC is working correctly. You should also consider using solar panels to generate electricity and turning off your lights and appliances when they are not in use. "
What is the best way to save money on groceries?,"The best way to save money on groceries is to buy items that are more affordable, such as smaller containers, such as single-origin coffee and cups made from aluminum. Buy only items that you will likely be using often and that you can store safely in your refrigerator. "
What are the benefits of volunteering?,"The primary benefits of volunteering are: increased self-confidence, improved mental health, and a reduced risk of depression and stress. Volunteering can be done in a variety of ways, including volunteering with a friend, a neighbor, or a local charity. Additionally, volunteering with a company or organization can help make a real difference in someone's life. "
What is the main function of the human respiratory system?,"The human respiratory system consists of the main function of lung, blood circulation, respiratory system, and other organs. The lung converts carbon dioxide and water into oxygen and secretes gases such as helium and oxygen. The blood circulation converts carbon dioxide and water into oxygen and blood. The respiratory system helps the body to maintain blood pressure, regulate body temperature, and repair and replace damaged organs. "
What is the term for animals that are active during the night?,"The term for animals that are active during the night, such as during the day when they are hunting or sleeping, is called ""light-dependent"" animals. "
Which natural phenomenon is measured by the Richter scale?,The shutter dropdown. 
What is the largest type of deer?,"The largest type of deer is the cheetah, which can reach a maximum of 30-30,000lbs. "
What does 'IoT' stand for in technology?,IoT is an acronym for Internet of Things. The acronym stands for Internet of Things and Internet of Things Interconnection. 
What is absolute zero?,"No, absolute zero is 0. "
Who discovered the electron?,The electron was discovered in 1883 by American scientist Albert Einstein 
What is kinetic energy?,The kinetic energy in this sentence is heat. It is the energy that is being used to move the objects in the sentence. 
What is the main component of natural gas?,The main component of natural gas is methane. 
